Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
77	:	1737339648.172	     0.555	0	1985	1	0	cat tmp_par.txt | python3 trimbytes.py 76 | timeout 20s python3 rep_parallel.py --push 76 --offset 0 --shortcircuit 1 -e LE 
78	:	1737339648.187	     0.540	0	1924	1	0	cat tmp_par.txt | python3 trimbytes.py 77 | timeout 20s python3 rep_parallel.py --push 77 --offset 0 --shortcircuit 1 -e LE 
79	:	1737339648.207	     0.520	0	1863	1	0	cat tmp_par.txt | python3 trimbytes.py 78 | timeout 20s python3 rep_parallel.py --push 78 --offset 0 --shortcircuit 1 -e LE 
80	:	1737339648.227	     0.500	0	1802	1	0	cat tmp_par.txt | python3 trimbytes.py 79 | timeout 20s python3 rep_parallel.py --push 79 --offset 0 --shortcircuit 1 -e LE 
81	:	1737339648.255	     0.473	0	1741	1	0	cat tmp_par.txt | python3 trimbytes.py 80 | timeout 20s python3 rep_parallel.py --push 80 --offset 0 --shortcircuit 1 -e LE 
82	:	1737339648.275	     0.453	0	1680	1	0	cat tmp_par.txt | python3 trimbytes.py 81 | timeout 20s python3 rep_parallel.py --push 81 --offset 0 --shortcircuit 1 -e LE 
83	:	1737339648.280	     0.449	0	1619	1	0	cat tmp_par.txt | python3 trimbytes.py 82 | timeout 20s python3 rep_parallel.py --push 82 --offset 0 --shortcircuit 1 -e LE 
84	:	1737339648.291	     0.438	0	1558	1	0	cat tmp_par.txt | python3 trimbytes.py 83 | timeout 20s python3 rep_parallel.py --push 83 --offset 0 --shortcircuit 1 -e LE 
85	:	1737339648.303	     0.426	0	1497	1	0	cat tmp_par.txt | python3 trimbytes.py 84 | timeout 20s python3 rep_parallel.py --push 84 --offset 0 --shortcircuit 1 -e LE 
86	:	1737339648.331	     0.398	0	1436	1	0	cat tmp_par.txt | python3 trimbytes.py 85 | timeout 20s python3 rep_parallel.py --push 85 --offset 0 --shortcircuit 1 -e LE 
87	:	1737339648.348	     0.381	0	1375	1	0	cat tmp_par.txt | python3 trimbytes.py 86 | timeout 20s python3 rep_parallel.py --push 86 --offset 0 --shortcircuit 1 -e LE 
88	:	1737339648.379	     0.351	0	1314	1	0	cat tmp_par.txt | python3 trimbytes.py 87 | timeout 20s python3 rep_parallel.py --push 87 --offset 0 --shortcircuit 1 -e LE 
89	:	1737339648.384	     0.345	0	1253	1	0	cat tmp_par.txt | python3 trimbytes.py 88 | timeout 20s python3 rep_parallel.py --push 88 --offset 0 --shortcircuit 1 -e LE 
91	:	1737339648.446	     0.293	0	1131	1	0	cat tmp_par.txt | python3 trimbytes.py 90 | timeout 20s python3 rep_parallel.py --push 90 --offset 0 --shortcircuit 1 -e LE 
90	:	1737339648.411	     0.335	0	1192	1	0	cat tmp_par.txt | python3 trimbytes.py 89 | timeout 20s python3 rep_parallel.py --push 89 --offset 0 --shortcircuit 1 -e LE 
94	:	1737339648.535	     0.223	0	948	1	0	cat tmp_par.txt | python3 trimbytes.py 93 | timeout 20s python3 rep_parallel.py --push 93 --offset 0 --shortcircuit 1 -e LE 
99	:	1737339648.612	     0.154	0	643	1	0	cat tmp_par.txt | python3 trimbytes.py 98 | timeout 20s python3 rep_parallel.py --push 98 --offset 0 --shortcircuit 1 -e LE 
98	:	1737339648.595	     0.184	0	704	1	0	cat tmp_par.txt | python3 trimbytes.py 97 | timeout 20s python3 rep_parallel.py --push 97 --offset 0 --shortcircuit 1 -e LE 
96	:	1737339648.571	     0.210	0	826	1	0	cat tmp_par.txt | python3 trimbytes.py 95 | timeout 20s python3 rep_parallel.py --push 95 --offset 0 --shortcircuit 1 -e LE 
101	:	1737339648.639	     0.144	0	523	1	0	cat tmp_par.txt | python3 trimbytes.py 100 | timeout 20s python3 rep_parallel.py --push 100 --offset 0 --shortcircuit 1 -e LE 
95	:	1737339648.547	     0.245	0	887	1	0	cat tmp_par.txt | python3 trimbytes.py 94 | timeout 20s python3 rep_parallel.py --push 94 --offset 0 --shortcircuit 1 -e LE 
92	:	1737339648.498	     0.295	0	1070	1	0	cat tmp_par.txt | python3 trimbytes.py 91 | timeout 20s python3 rep_parallel.py --push 91 --offset 0 --shortcircuit 1 -e LE 
97	:	1737339648.583	     0.210	0	765	1	0	cat tmp_par.txt | python3 trimbytes.py 96 | timeout 20s python3 rep_parallel.py --push 96 --offset 0 --shortcircuit 1 -e LE 
93	:	1737339648.525	     0.268	0	1009	1	0	cat tmp_par.txt | python3 trimbytes.py 92 | timeout 20s python3 rep_parallel.py --push 92 --offset 0 --shortcircuit 1 -e LE 
100	:	1737339648.617	     0.184	0	582	1	0	cat tmp_par.txt | python3 trimbytes.py 99 | timeout 20s python3 rep_parallel.py --push 99 --offset 0 --shortcircuit 1 -e LE 
102	:	1737339648.650	     0.153	0	462	1	0	cat tmp_par.txt | python3 trimbytes.py 101 | timeout 20s python3 rep_parallel.py --push 101 --offset 0 --shortcircuit 1 -e LE 
103	:	1737339648.658	     0.148	0	401	1	0	cat tmp_par.txt | python3 trimbytes.py 102 | timeout 20s python3 rep_parallel.py --push 102 --offset 0 --shortcircuit 1 -e LE 
104	:	1737339648.675	     0.143	0	765	0	0	cat tmp_par.txt | python3 trimbytes.py 103 | timeout 20s python3 rep_parallel.py --push 103 --offset 0 --shortcircuit 1 -e LE 
105	:	1737339648.683	     0.140	0	268	1	0	cat tmp_par.txt | python3 trimbytes.py 104 | timeout 20s python3 rep_parallel.py --push 104 --offset 0 --shortcircuit 1 -e LE 
106	:	1737339648.727	     0.170	0	268	1	0	cat tmp_par.txt | python3 trimbytes.py 105 | timeout 20s python3 rep_parallel.py --push 105 --offset 0 --shortcircuit 1 -e LE 
