dhcp.bad_bitfield,Bogus bitfield
dhcp.option.client_last_transaction_time,Client last transaction time
dhcp.option.client_system_architecture,Client System Architecture
dhcp.option.default_finger_server,Default Finger Server
dhcp.option.default_ip_ttl,Default IP Time-to-Live
dhcp.option.default_irc_server,Default IRC Server
dhcp.option.default_www_server,Default WWW Server
dhcp.option.dhcp,DHCP
dhcp.option.dhcp_authentication.alg_delay,Delay Algorithm
dhcp.option.dhcp_authentication.algorithm,Algorithm
dhcp.option.dhcp_authentication.hmac_md5_hash,HMAC MD5 Hash
dhcp.option.dhcp_authentication.information,Authentication Information
dhcp.option.dhcp_authentication.protocol,Protocol
dhcp.option.dhcp_authentication.rdm,Replay Detection Method
dhcp.option.dhcp_authentication.rdm_rdv,Replay Detection Value
dhcp.option.dhcp_authentication.rdm_replay_detection,RDM Replay Detection Value
dhcp.option.dhcp_authentication.secret_id,Secret ID
dhcp.option.dhcp_auto_configuration,DHCP Auto-Configuration
dhcp.option.dhcp_dns_domain_search_list_fqdn,FQDN
dhcp.option.dhcp_dns_domain_search_list_refer_last_option,"For the data, please refer to last option 119"
dhcp.option.dhcp_dns_domain_search_list_rfc_3396_detected,Encoding Long Options detected (RFC 3396)
dhcp.option.dhcp_max_message_size,Maximum DHCP Message Size
dhcp.option.dhcp_name_service.invalid,Invalid Name Service
dhcp.option.dhcp_name_service_search_option,Name Service
dhcp.option.dhcp_server_id,DHCP Server Identifier
dhcp.option.domain_name,Domain Name
dhcp.option.domain_name_server,Domain Name Server
dhcp.option.end,Option End
dhcp.option.enterprise.malformed,no room left in option for enterprise data
dhcp.option.ethernet_encapsulation,Ethernet Encapsulation
dhcp.option.extension_path,Extensions Path
dhcp.option.forcerenew_nonce.algorithm,Algorithm
dhcp.option.hostname,Host Name
dhcp.option.impress_server,Impress Server
dhcp.option.interface_mtu,Interface MTU
dhcp.option.ip_address_lease_time,IP Address Lease Time
dhcp.option.ip_forwarding,IP Forwarding
dhcp.option.isns.administrative_flags,Administrative Flags
dhcp.option.isns.administrative_flags.default_discovery_domain,Default Discovery Domain
dhcp.option.isns.administrative_flags.enabled,Administrative Flags Enabled
dhcp.option.isns.administrative_flags.heartbeat,Heartbeat
dhcp.option.isns.administrative_flags.management_scns,Management SCNs
dhcp.option.isns.administrative_flags.reserved,Reserved Flags
dhcp.option.isns.discovery_domain_access,Discovery Domain Access flags
dhcp.option.isns.discovery_domain_access.enabled,Discovery Domain Enabled
dhcp.option.isns.discovery_domain_access.ifcp_target_port,iFCP Target Port
dhcp.option.isns.discovery_domain_access.initiator_target_port,iFCP Initiator Port
dhcp.option.isns.discovery_domain_access.iscsi_initiator,iSCSI Initiator
dhcp.option.isns.discovery_domain_access.iscsi_target,iSCSI Target
dhcp.option.isns.discovery_domain_access.reserved,Reserved Flags
dhcp.option.isns.discovery_domain_access_control.node,Control Node
dhcp.option.isns.functions,iSNS Functions
dhcp.option.isns.functions.dd_base_authorization,Discovery Domain based Authorization
dhcp.option.isns.functions.enabled,Function Fields Enabled
dhcp.option.isns.functions.reserved,Reserved flags
dhcp.option.isns.functions.sec_policy_distribution,Security Policy Distribution
dhcp.option.isns.heartbeat_originator_addr,Heartbeat Originator Address
dhcp.option.isns.ignored_bitfield,Enabled field is not set - non-zero bitmask ignored
dhcp.option.isns.primary_server_addr,Primary Server Address
dhcp.option.isns.secondary_server_addr,Secondary Server Address
dhcp.option.isns.server_security_bitmap,iSNS Server Security Bitmap
dhcp.option.isns.server_security_bitmap.aggressive_mode,Aggressive Mode
dhcp.option.isns.server_security_bitmap.enabled,Server Security Bitmap Enabled
dhcp.option.isns.server_security_bitmap.ike_ipsec_enabled,IKE/IPSec
dhcp.option.isns.server_security_bitmap.main_mode,Main Mode
dhcp.option.isns.server_security_bitmap.pfs,PFS
dhcp.option.isns.server_security_bitmap.reserved,Reserved Flags
dhcp.option.isns.server_security_bitmap.transport_mode,Transport Mode
dhcp.option.isns.server_security_bitmap.tunnel_mode,Tunnel Mode
dhcp.option.length,Length
dhcp.option.log_server,Log Server
dhcp.option.lost_server_domain_name,LoST Server Domain Name
dhcp.option.lpr_server,LPR Server
dhcp.option.mask_supplier,Mask Supplier
dhcp.option.max_datagram_reassembly_size,Maximum Datagram Reassembly Size
dhcp.option.merit_dump_file,Merit Dump File
dhcp.option.message,Message
dhcp.option.mobile_ip_home_agent,Mobile IP Home Agent
dhcp.option.mudurl,MUDURL
dhcp.option.name_server,Name Server
dhcp.option.netbios_over_tcpip_dd_name_server,NetBIOS over TCP/IP Datagram Distribution Name Server
dhcp.option.netbios_over_tcpip_name_server,NetBIOS over TCP/IP Name Server
dhcp.option.netbios_over_tcpip_node_type,NetBIOS over TCP/IP Node Type
dhcp.option.netbios_over_tcpip_scope,NetBIOS over TCP/IP Scope
dhcp.option.netinfo_parent_server_address,NetInfo Parent Server Address
dhcp.option.netinfo_parent_server_tag,NetInfo Parent Server Tag
dhcp.option.nis_domain,Network Information Service Domain
dhcp.option.nis_plus_domain,Network Information Service+ Domain
dhcp.option.nis_plus_server,Network Information Service+ Server
dhcp.option.nis_server,Network Information Service Server
dhcp.option.nntp_server,NNTP Server
dhcp.option.non_local_source_routing,Non-Local Source Routing
dhcp.option.nonstd_data,Non standard compliant option data
dhcp.option.novell_ds_context,Novell Directory Services Context
dhcp.option.novell_ds_tree_name,Novell Directory Services Tree Name
dhcp.option.novell_dss.ip,IP Address
dhcp.option.novell_dss.string,Novell Directory Services Servers String
dhcp.option.novell_netware_ip_domain,Novell/Netware IP domain
dhcp.option.novell_options.autoretries,Autoretries
dhcp.option.novell_options.autoretry_delay,"Autoretry delay, sec"
dhcp.option.novell_options.broadcast,Broadcast for nearest Netware server
dhcp.option.novell_options.nearest_nwip_server,Nearest NWIP server
dhcp.option.novell_options.preferred_dss_server,Preferred DSS server
dhcp.option.novell_options.primary_dss,Primary DSS
dhcp.option.novell_options.suboption,Option 63 Suboption
dhcp.option.novell_options.support_netware_v1_1,Broadcast for nearest Netware server
dhcp.option.novell_options.value,Value
dhcp.option.novell_options.value.address,Value
dhcp.option.novell_options.value.bool,Value
dhcp.option.novell_options.value.uint,Value
dhcp.option.ntp_server,Network Time Protocol Server
dhcp.option.option.vi.cl.tag_unknown,Unknown tag
dhcp.option.option_overload,Option Overload
dhcp.option.option_overload.file_end_missing,file overload end option missing
dhcp.option.option_overload.sname_end_missing,sname overload end option missing
dhcp.option.padding,Padding
dhcp.option.pana_agent,PAA IPv4 Address
dhcp.option.parse_err,Parse error
dhcp.option.path_mtu_aging_timeout,Path MTU Aging Timeout
dhcp.option.path_mtu_plateau_table_item,Path MTU Plateau Table Item
dhcp.option.pcp.list_length,List-Length
dhcp.option.pcp.server,PCP Server
dhcp.option.perform_mask_discovery,Perform Mask Discovery
dhcp.option.perform_router_discover,Perform Router Discover
dhcp.option.policy_filter.ip,IP Address
dhcp.option.policy_filter.subnet_mask,Subnet Mask
dhcp.option.pop3_server,POP3 Server
dhcp.option.portparams.offset,Offset
dhcp.option.portparams.psid,PSID
dhcp.option.portparams.psid_length,PSID-Length
dhcp.option.private_proxy_autodiscovery,Private/Proxy autodiscovery
dhcp.option.pxe_config_file,PXELINUX configuration file
dhcp.option.pxe_path_prefix,PXELINUX path prefix
dhcp.option.quotes_server,Quotes Server
dhcp.option.rdnss.domain,Domains and networks
dhcp.option.rdnss.preference,Preference
dhcp.option.rdnss.primary_dns,Primary DNS
dhcp.option.rdnss.reserved,Reserved
dhcp.option.rdnss.secondary_dns,Secondary DNS
dhcp.option.rebinding_time_value,Rebinding Time Value
dhcp.option.renewal_time_value,Renewal Time Value
dhcp.option.request_list_item,Parameter Request List Item
dhcp.option.requested_ip_address,Requested IP Address
dhcp.option.resource_location_server,Resource Location Server
dhcp.option.rfc3825.altitide_res,Altitude resolution
dhcp.option.rfc3825.altitude,Altitude
dhcp.option.rfc3825.altitude_res,Altitude resolution
dhcp.option.rfc3825.altitude_type,Altitude type
dhcp.option.rfc3825.error,Error
dhcp.option.rfc3825.latitude,Latitude
dhcp.option.rfc3825.latitude_res,Latitude resolution
dhcp.option.rfc3825.longitude,Longitude
